gid	variance	mutual_info	anova_f	anova_p	fwe_alpha_5e2	fdr_alpha_5e2	fpr_alpha_5e2
ENSG00000197870	0.08182929784416049	0.03942396667057135	12.345016554789964	5.176784721526503e-06	False	True	True
ENSG00000230657	0.08135690256856055	0.039960781017800207	12.393921794669334	4.936442107863475e-06	False	True	True
ENSG00000251655	0.19455488137220633	0.04551782790304859	3.6624609095609917	0.0260700119798351	False	True	True
ENSG00000167566	0.02952440582903369	0.014538782624997859	6.648123596702188	0.0013640279559578186	False	True	True
ENSG00000186666	0.02952440582903369	0.014538782624997859	6.648123596702188	0.0013640279559578186	False	True	True
ENSG00000135472	0.02952440582903369	0.014538782624997859	6.648123596702188	0.0013640279559578186	False	True	True
ENSG00000167580	0.02952440582903369	0.014538782624997859	6.648123596702188	0.0013640279559578186	False	True	True
ENSG00000161798	0.02952440582903369	0.014538782624997859	6.648123596702188	0.0013640279559578186	False	True	True
ENSG00000086159	0.02952440582903369	0.014538782624997859	6.648123596702188	0.0013640279559578186	False	True	True
ENSG00000161800	0.03032370944935675	0.01784682769408219	7.685710675527695	0.0004915681332518641	False	True	True
ENSG00000110881	0.03032370944935675	0.01784682769408219	7.685710675527695	0.0004915681332518641	False	True	True
ENSG00000066117	0.02974353924845012	0.017432259251370263	7.316699257355741	0.0007064781723984204	False	True	True
ENSG00000167588	0.02974353924845012	0.017432259251370263	7.316699257355741	0.0007064781723984204	False	True	True
ENSG00000178449	0.02974353924845012	0.017432259251370263	7.316699257355741	0.0007064781723984204	False	True	True
ENSG00000139624	0.03035384748555778	0.01784682769408219	7.697228338993564	0.00048603714760820597	False	True	True
ENSG00000153179	0.03198566960525829	0.010792277204204614	7.552478074528116	0.0005603245549857615	False	True	True
ENSG00000171435	0.030488778644126496	0.0066076700625545826	4.135192149966292	0.01631846468342675	False	True	True
ENSG00000122966	0.030816707134237606	0.005973093074956859	3.3003767415794982	0.0373362692628078	False	False	True
ENSG00000139718	0.034802708902421646	0.008697026830494003	3.9969543007817756	0.01871343433395772	False	True	True
ENSG00000158104	0.03502337809197855	0.0078057129617497	3.821256279191725	0.022272631873481018	False	True	True
ENSG00000110801	0.03502337809197855	0.0078057129617497	3.821256279191725	0.022272631873481018	False	True	True
ENSG00000158023	0.03412769904512446	0.009673291457862776	4.375235893619596	0.012866190430460306	False	True	True
ENSG00000110987	0.03369281648483191	0.010278721711819871	4.4482453172484755	0.011969169759418526	False	True	True
ENSG00000175727	0.03440332354312042	0.012862810422127113	4.783487371177129	0.008590427101705184	False	True	True
ENSG00000139726	0.03529250730628573	0.009494458633962033	5.111099575550395	0.006213711429731857	False	True	True
ENSG00000033030	0.03565628738865854	0.01196411822078658	5.00834975419298	0.006877908365266771	False	True	True
ENSG00000111271	0.031228259690382686	0.009262018966413654	3.928052922212707	0.02003567921713613	False	True	True
ENSG00000257767	0.031228259690382686	0.009262018966413654	3.928052922212707	0.02003567921713613	False	True	True
ENSG00000111275	0.03112600227714945	0.009613189635190533	4.075677118168704	0.017309406835891415	False	True	True
ENSG00000292259	0.03112600227714945	0.009613189635190533	4.075677118168704	0.017309406835891415	False	True	True
ENSG00000189079	0.03211768514634427	0.007597606189366335	5.482799618044472	0.00430413497174822	False	True	True
ENSG00000133687	0.0422333605381007	0.047424974565985156	8.26436846249524	0.0002785137374692247	False	True	True
ENSG00000233381	0.041636563410666176	0.05289567472790613	6.204729239250628	0.002111323266230888	False	True	True
ENSG00000184047	0.034952176726829265	0.012687529170456902	4.7773503127981805	0.008642726622868795	False	True	True
ENSG00000284934	0.034952176726829265	0.012687529170456902	4.7773503127981805	0.008642726622868795	False	True	True
ENSG00000013588	0.0766923823784669	0.044563941386440487	13.842403907520461	1.2104525833060046e-06	True	True	True
